BookingID,BookingDate,CustomerID,CustomerName,Gender,Age,MobileNo,EmailID,City,Country,FlightID,FlightName,FlightNumber,SourceCity,SourceAirport,DestinationCity,DestinationAirport,FlightDate,DepartureTime,ArrivalTime,SeatClass,SeatNumber,PNRNumber,TicketPrice,TaxAmount,TotalAmount,PaymentMode,PaymentStatus,BookingStatus
4351,2026-05-06,CUST004351,,Female,53.0,8574941008.0,unnibhatia@example.org,Ahmedabad,UAE,FL004351,spice jet,SG5328,Jaipur,Jaipur International Airport,Chennai,Chennai International Airport,2026-07-11,08:30,17:30,Economy,7D,PNR7952507,12653,632.65,13285.65,Net Banking,Refunded,Waiting
3627,2025-08-10,CUST003627,Suhani Subramaniam,Male,,8092622812.0,boragabriel@example.org,Singrauli,UK,FL003627,SpiceJet,QP1006,Chennai,Chennai International Airport,Goa,Manohar International Airport,2025-08-21,09:15,16:15,Premium Economy,26E,PNR9525488,49786,2489.3,52275.3,UPI,Pending,Confirmed
2452,2025-07-15,CUST002452,Aishani Raman,Female,39.0,5958976887.0,,Patiala,UAE,FL002452,SpiceJet,QP2431,London,Heathrow Airport,,Singapore Changi Airport,2025-10-02,22:45,08:45,First Class,39B,PNR6877833,66445,3322.25,69767.25,Credit Card,Paid,Confirmed
1123,2025-11-01,CUST001123,Vamakshi Dugar,Female,Unknown,5115068676.0,reddyyochana@example.net,Alwar,Thailand,FL001123,IndiGo,QP242,Kolkata,Netaji Subhas Chandra Bose International Airport,Doha,Hamad International Airport,2026-01-05,03:45,12:45,First Class,16C,PNR6037867,62803,3140.15,65943.15,UPI,,Confirmed
2366,2025-08-19,CUST002366,Chandresh Dutta,Male,18 Years,5651850685.0,hemanidada@example.net,Hubli–Dharwad,Thailand,FL002366,Air India,QP9977,London,Heathrow Airport,Delhi,Indira Gandhi International Airport,2025-10-17,10:00,16:00,First Class,21D,PNR7202130,23002,1150.1,24152.1,Net Banking,Paid,Cancelled
782,2026-03-06,CUST000782,,Male,28.0,5355544653.0,ghoshhiral@example.com,Pali,Thailand,FL000782,Etihad Airways,AI8145,Jaipur,Jaipur International Airport,Mumbai,Chhatrapati Shivaji Maharaj International Airport,2026-04-28,11:30,14:30,,23E,PNR8154933,8902,445.1,9347.1,Net Banking,Pending,Waiting
346,2025-11-24,CUST000346,,Female,N/A,2332843636.0,netrasengupta@example.net,Satna,UAE,FL000346,Etihad Airways,AI1548,Bangkok,Suvarnabhumi Airport,London,Heathrow Airport,2026-03-22,06:45,12:45,Economy,24E,PNR9118090,17650,882.5,18532.5,Net Banking,,Waiting
3638,2025-08-22,CUST003638,Chanakya Sankaran,Male,28.0,6129949898.0,pradhandayamai@example.net,Nagaon,India,FL003638,Emirates,UK3665,Bangkok,Suvarnabhumi Airport,Doha,Hamad International Airport,2025-11-18,15:00,16:00,Premium Economy,10D,PNR1089825,4686,234.3,4920.3,Debit Card,Paid,Waiting
2750,2026-05-11,CUST002750,,Female,30.0,9962248351.0,champak39@example.net,Bulandshahr,UAE,FL002750,British Airways,SG749,Dubai,Dubai International Airport,Doha,Hamad International Airport,,03:45,04:45,Economy,19D,PNR5791242,58304,2915.2,61219.2,Debit Card,Refunded,Cancelled
4982,2025-09-27,CUST004982,Pranit Sha,Female,73.0,3185556738.0,sankarannitara@example.org,Mirzapur,Thailand,FL004982,Emirates,QR2666,Jaipur,Jaipur International Airport,Mumbai,Chhatrapati Shivaji Maharaj International Airport,2025-11-12,01:45,06:45,First Class,2C,PNR2946383,8045,402.25,8447.25,Net Banking,,Cancelled
4509,2025-08-13,CUST004509,Raagini Bhattacharyya,Male,39.0,3916742517.0,itaneja@example.org,Barasat,UK,FL004509,Singapore Airlines,UK3078,Chennai,Chennai International Airport,Dubai,Dubai International Airport,2025-10-26,07:30,14:30,First Class,49B,PNR1608403,69783,3489.15,73272.15,Net Banking,Pending,Confirmed
55,2025-10-20,CUST000055,,Female,35.0,,qsood@example.com,Moradabad,Thailand,FL000055,Lufthansa,AI1795,Singapore,Singapore Changi Airport,Jaipur,Jaipur International Airport,2025-12-04,11:00,15:00,Economy,42F,PNR6817567,49477,2473.85,51950.85,Debit Card,Pending,Cancelled
317,2026-05-09,CUST000317,,Female,53.0,7187846166.0,,Ahmednagar,UK,FL000317, Air India,6E5263,Hyderabad,Rajiv Gandhi International Airport,Ahmedabad,Sardar Vallabhbhai Patel International Airport,2026-06-12,23:30,02:30,Economy,41A,PNR9757413,2880,144.0,3024.0,Credit Card,Refunded,Confirmed
2508,2025-11-20,CUST002508,,Male,23.0,728016869.0,ekta89@example.org,,Singapore,FL002508,SpiceJet,QP2448,Pune,Pune International Airport,Delhi,Indira Gandhi International Airport,2025-12-18,02:45,06:45,Business,34A,PNR3080924,40558,2027.9,42585.9,UPI,Pending,Cancelled
4362,2026-02-04,CUST004362,Bhanumati Mohan,Female,Twenty,3135121961.0,nakulkari@example.org,Ranchi,Thailand,FL004362,Qatar Airways,QP966,Doha,Hamad International Airport,Pune,Pune International Airport,2026-05-09,18:45,04:45,Premium Economy,34C,PNR4548096,66876,3343.8,70219.8,Credit Card,Paid,Waiting
4383,2026-03-09,CUST004383,Chanchal Walia,Female,32.0,4660149401.0,dharjatin@example.com,Sultan Pur Majra,UAE,FL004383,IndiGo,EK4606,Mumbai,Chhatrapati Shivaji Maharaj International Airport,Singapore,Singapore Changi Airport,2026-03-20,05:15,15:15,Business,32C,PNR4053787,51021,2551.05,53572.05,Debit Card,Refunded,Cancelled
4744,2025-11-15,CUST004744,Oni Bhatti,Female,31.0,6419473763.0,zlal@example.com,Gandhinagar,UAE,FL004744,Qatar Airways,AI7850,Pune,Pune International Airport,Chennai,Chennai International Airport,2025-12-24,02:00,07:00,Economy,45A,PNR6940587,61421,3071.05,64492.05,Debit Card,Pending,Waiting
1281,2025-09-02,CUST001281,,Female,70.0,6900916085.0,sahotaqabil@example.org,Arrah,UK,FL001281,Qatar Airways,UK2721,Kolkata,Netaji Subhas Chandra Bose International Airport,Delhi,Indira Gandhi International Airport,2025-09-30,05:15,06:15,,32D,PNR3533451,19442,972.1,20414.1,Net Banking,Refunded,Cancelled
660,2025-10-28,CUST000660,,Female,57.0,5208566091.0,advikshukla@example.com,Jehanabad,Thailand,FL000660,Etihad Airways,SG5818,Ahmedabad,Sardar Vallabhbhai Patel International Airport,Kolkata,Netaji Subhas Chandra Bose International Airport,2026-01-17,05:00,06:00,Business,20F,PNR4732208,38764,1938.2,40702.2,Debit Card,Refunded,
3450,2026-01-18,CUST003450,Manya Choudhry,Female,,2649719656.0,oviya07@example.net,Phusro,Thailand,FL003450,Thai Airways,QP6018,Kolkata,Netaji Subhas Chandra Bose International Airport,Mumbai,Chhatrapati Shivaji Maharaj International Airport,2026-01-29,10:45,19:45,First Class,15A,PNR8673255,57437,2871.85,60308.85,Credit Card,Refunded,Waiting
4054,2026-05-24,CUST004054,Gaurang Sahota,Female,39.0,4938308008.0,abcgmail.com,Noida,UAE,FL004054,SpiceJet,AI7451,,Kempegowda International Airport,Dubai,Dubai International Airport,2026-06-25,04:00,12:00,First Class,6D,PNR8005506,65462,3273.1,68735.1,Debit Card,Pending,Waiting
3876,2025-12-29,CUST003876,Ridhi Srinivasan,Female,34.0,4972906077.0,qbehl@example.net,Jaunpur,UK,FL003876,British Airways,6E6289,Ahmedabad,Sardar Vallabhbhai Patel International Airport,Mumbai,Chhatrapati Shivaji Maharaj International Airport,2026-03-24,23:00,09:00,Economy,49F,PNR1892900,13866,693.3,14559.3,Net Banking,Paid,Cancelled
3378,2026-04-14,CUST003378,,Female,29.0,,gsekhon@example.net,Secunderabad,Singapore,FL003378,Singapore Airlines,6E7431,Chennai,Chennai International Airport,Bangkok,Suvarnabhumi Airport,2026-07-17,09:30,10:30,Premium Economy,23E,,11728,586.4,12314.4,Credit Card,,Confirmed
3815,2026-02-13,CUST003815,Sanya Gulati,Male,,,vasakrishna@example.com,Ambattur,Singapore,FL003815,IndiGo,UK8390,Bengaluru,Kempegowda International Airport,Dubai,Dubai International Airport,2026-04-19,03:15,05:15,Business,43B,PNR7876962,29324,1466.2,30790.2,Net Banking,,Waiting
570,2025-11-01,CUST000570,,Female,39.0,631833264.0,lwason@example.net,Amritsar,UAE,FL000570,SpiceJet,QR1035,Hyderabad,Rajiv Gandhi International Airport,,Hamad International Airport,2025-12-16,01:45,09:45,First Class,14D,PNR2830542,62151,3107.55,65258.55,UPI,Pending,Waiting
1282,2025-08-02,CUST001282,Ishita Bahl,Male,43.0,9022652558.0,mprabhakar@example.org,Muzaffarpur,Thailand,FL001282,Singapore Airlines,AI223,Kolkata,Netaji Subhas Chandra Bose International Airport,Jaipur,Jaipur International Airport,2025-08-25,08:00,13:00,First Class,43D,PNR6354654,56432,2821.6,59253.6,Net Banking,,Cancelled
255,2025-09-07,CUST000255,Kalpit Khare,Female,,5005369410.0,dayitaprabhu@example.net,Tiruppur,India,FL000255,Emirates,6E9181,Delhi,Indira Gandhi International Airport,Bengaluru,Kempegowda International Airport,2025-09-16,11:15,20:15,Economy,42C,PNR2845018,61511,3075.55,64586.55,Net Banking,,Waiting
3347,2026-01-09,CUST003347,Tejas Sur,Male,Twenty,5738210020.0,badamilekha@example.org,Ozhukarai,Thailand,FL003347,Emirates,QR4189,Bengaluru,Kempegowda International Airport,Hyderabad,Rajiv Gandhi International Airport,2026-02-14,23:30,09:30,First Class,1D,PNR6016408,63278,3163.9,66441.9,Credit Card,Pending,Waiting
2361,2025-09-04,CUST002361,Bhavya Ganguly,Female,64.0,,ekantika77@example.com,Shivpuri,UAE,FL002361,Akasa Air,UK7518,Dubai,Dubai International Airport,Mumbai,Chhatrapati Shivaji Maharaj International Airport,2025-12-15,20:45,04:45,Economy,7B,PNR9782047,30909,1545.45,32454.45,UPI,Refunded,Confirmed
4889,2026-02-03,CUST004889,Jagvi Bhalla,Female,19.0,,pverma@example.org,Patiala,India,FL004889,Singapore Airlines,6E5101,Bengaluru,Kempegowda International Airport,,Rajiv Gandhi International Airport,2026-04-28,16:00,20:00,Premium Economy,30E,,27735,1386.75,29121.75,Credit Card,Pending,Waiting
3771,2025-07-08,CUST003771,Rajata Hegde,Male,58.0,8632401011.0,,Mysore,UAE,FL003771,Emirates,SG9455,Ahmedabad,Sardar Vallabhbhai Patel International Airport,Doha,Hamad International Airport,2025-10-30,18:45,21:45,First Class,41C,PNR9558494,36179,1808.95,37987.95,Net Banking,Paid,Waiting
4713,2026-06-15,CUST004713,Advik Hari,Female,71.0,,gayathri72@example.net,Erode,UAE,FL004713,Singapore Airlines,QP6875,,Singapore Changi Airport,Goa,Manohar International Airport,2026-07-08,14:15,18:15,Premium Economy,35E,PNR2703825,73183,3659.15,76842.15,Credit Card,Refunded,Cancelled
2170,2025-12-22,CUST002170,Aarav Manne,Male,36.0,1025003140.0,subramaniamoscar@example.org,Panchkula,UK,FL002170,Akasa Air,6E367,Bengaluru,Kempegowda International Airport,Bangkok,Suvarnabhumi Airport,2026-01-30,21:30,22:30,Business,15C,PNR4875223,68533,3426.65,71959.65,UPI,Pending,Waiting
2909,2025-12-23,CUST002909,Sneha Chana,Male,73.0,2533234885.0,glal@example.net,Warangal,Thailand,FL002909,SpiceJet,SG1363,Goa,Manohar International Airport,Bangkok,Suvarnabhumi Airport,2026-01-11,12:45,20:45,Business,1B,PNR9195093,31914,1595.7,33509.7,Credit Card,Refunded,Confirmed
3943,2026-01-09,CUST003943,Chaman Banik,Male,53.0,1436171931.0,zbhatia@example.net,Singrauli,UAE,FL003943,vistara123,QR7071,Hyderabad,Rajiv Gandhi International Airport,Goa,Manohar International Airport,,01:30,05:30,Economy,26A,PNR3506329,49553,2477.65,52030.65,Net Banking,Paid,Confirmed
2438,2025-11-18,CUST002438,Samuel Mittal,Female,27.0,7393968358.0,golayahvi@example.net,Pune,Thailand,FL002438,Air India,EK5550,Ahmedabad,Sardar Vallabhbhai Patel International Airport,Chennai,Chennai International Airport,2025-12-22,16:30,18:30,First Class,40F,PNR2684084,11521,576.05,12097.05,Net Banking,Pending,Confirmed
819,2026-01-17,CUST000819,,Female,62.0,3029801485.0,bhavikaraj@example.net,Jamnagar,Singapore,FL000819,IndiGo,QR5785,Goa,Manohar International Airport,Bangkok,Suvarnabhumi Airport,2026-03-30,03:45,04:45,Business,44D,PNR8024759,27993,1399.65,29392.65,UPI,Pending,Confirmed
4006,2026-01-12,CUST004006,Pooja Bhatt,Female,46.0,4732010433.0,wardabhatti@example.org,Ongole,Thailand,FL004006,Akasa Air,EK8827,Pune,Pune International Airport,Doha,Hamad International Airport,2026-03-27,13:15,18:15,Premium Economy,36B,PNR2839094,18044,902.2,18946.2,UPI,Refunded,Confirmed
421,2025-12-30,CUST000421,Farhan Madan,Female,,,bshroff@example.com,Salem,Singapore,FL000421,Air India,6E475,Dubai,Dubai International Airport,Ahmedabad,Sardar Vallabhbhai Patel International Airport,2026-04-22,16:30,02:30,First Class,14E,PNR9756118,17141,857.05,17998.05,Debit Card,Paid,Waiting
3256,2026-04-09,CUST003256,,Female,46.0,4348034097.0,,Surendranagar Dudhrej,Thailand,FL003256,SpiceJet,UK4079,Mumbai,Chhatrapati Shivaji Maharaj International Airport,Kolkata,Netaji Subhas Chandra Bose International Airport,2026-08-01,09:15,17:15,Business,41D,,73030,3651.5,76681.5,Credit Card,Pending,Confirmed
373,2026-06-05,CUST000373,,Male,49.0,4354332329.0,,Rourkela,India,FL000373,IndiGo,EK9670,Jaipur,Jaipur International Airport,Hyderabad,Rajiv Gandhi International Airport,2026-08-30,09:45,14:45,,47C,PNR3096596,54444,2722.2,57166.2,Debit Card,Paid,Cancelled
1234,2026-02-05,CUST001234,,Female,64.0,,finn98@example.org,Burhanpur,UK,FL001234,Etihad Airways,EK7951,,Kempegowda International Airport,Doha,Hamad International Airport,2026-02-15,15:30,01:30,First Class,21C,PNR6470703,27822,1391.1,29213.1,Net Banking,Pending,Confirmed
1090,2025-07-12,CUST001090,,Female,19.0,9077476167.0,lshah@example.com,Guwahati,Singapore,FL001090,Etihad Airways,UK3234,Bengaluru,Kempegowda International Airport,Singapore,Singapore Changi Airport,2025-07-17,10:15,12:15,Premium Economy,43C,PNR1804180,23946,1197.3,25143.3,Credit Card,Refunded,Confirmed
4140,2025-12-03,CUST004140,,Male,25.0,2241269401.0,ykrishnamurthy@example.org,Panchkula,Singapore,FL004140,British Airways,AI6412,Pune,Pune International Airport,Jaipur,Jaipur International Airport,2026-01-11,16:15,01:15,First Class,30C,PNR5165592,44133,2206.65,46339.65,UPI,Paid,Cancelled
3846,2026-06-15,CUST003846,Pallavi Tella,Female,,4353246051.0,qsengupta@example.org,Phagwara,UK,FL003846,Thai Airways,QR5508,London,Heathrow Airport,Chennai,Chennai International Airport,2026-08-14,00:45,03:45,Business,3C,PNR2223781,48987,2449.35,51436.35,UPI,Paid,Waiting
1852,2025-07-16,CUST001852,Nathaniel Narang,Female,37.0,1321272756.0,subramanianradha@example.org,Mirzapur,UK,FL001852,Emirates,SG198,London,Heathrow Airport,Hyderabad,Rajiv Gandhi International Airport,2025-07-29,13:30,19:30,First Class,25C,PNR6346063,-23228,2205.5,46315.5,Net Banking,Pending,Waiting
379,2026-06-12,CUST000379,,Male,43.0,8514647575.0,rachana95@example.com,Farrukhabad,India,FL000379,Akasa Air,AI5235,Dubai,Dubai International Airport,Bengaluru,Kempegowda International Airport,2026-08-23,04:00,11:00,Premium Economy,14F,PNR9833652,4672,233.6,4905.6,Net Banking,Paid,Waiting
4429,2025-11-24,CUST004429,Yachana Aggarwal,Male,57.0,5866879927.0,gourbhavini@example.net,Rewa,Thailand,FL004429,British Airways,QR4534,Goa,Manohar International Airport,Pune,Pune International Airport,2026-02-24,06:00,11:00,Premium Economy,22F,PNR7473231,65192,3259.6,68451.6,Credit Card,Refunded,Cancelled
731,2025-08-28,CUST000731,Qadim Muni,Female,60.0,1119177303.0,wazirkrishna@example.com,Sultan Pur Majra,Singapore,FL000731,Thai Airways,AI1228,Goa,Manohar International Airport,Mumbai,Chhatrapati Shivaji Maharaj International Airport,,19:30,01:30,First Class,29E,PNR7811604,70978,3548.9,74526.9,UPI,Paid,Cancelled
1138,2026-04-16,CUST001138,,Male,46.0,1373740454.0,thakurmeghana@example.com,Shahjahanpur,UAE,FL001138,Lufthansa,AI7694,Singapore,Singapore Changi Airport,Pune,Pune International Airport,2026-07-03,16:30,18:30,First Class,3B,PNR7738660,18850,942.5,19792.5,Debit Card,Refunded,Cancelled
407,2025-08-28,CUST000407,Kiaan Goda,Female,27.0,7939606577.0,khatrisudiksha@example.org,Parbhani,UK,FL000407,Thai Airways,SG1674,Dubai,Dubai International Airport,Doha,Hamad International Airport,2025-12-08,20:15,02:15,Premium Economy,28D,,23882,1194.1,25076.1,UPI,Refunded,Cancelled
1708,2026-04-22,CUST001708,Michael Butala,Male,69.0,6166753924.0,hayerturvi@example.com,Serampore,Singapore,FL001708,Lufthansa,SG2602,Jaipur,Jaipur International Airport,Delhi,Indira Gandhi International Airport,2026-07-17,23:45,08:45,First Class,37D,PNR2729927,36897,1844.85,38741.85,Credit Card,Paid,Cancelled
4614,2025-06-24,CUST004614,,Female,18 Years,6311083846.0,bhattiradha@example.org,Tenali,Singapore,FL004614,British Airways,SG2498,Chennai,Chennai International Airport,Kolkata,Netaji Subhas Chandra Bose International Airport,2025-10-06,13:00,14:00,Economy,44B,,39706,1985.3,41691.3,Debit Card,Pending,Waiting
3700,2025-12-12,CUST003700,     ,Female,73.0,0000000000,veerpatla@example.org,Kakinada,UK,FL003700,IndiGo,QP7080,Jaipur,Jaipur International Airport,London,Heathrow Airport,2026-02-11,17:45,22:45,Premium Economy,36E,PNR4235128,30264,1513.2,31777.2,Debit Card,Pending,Waiting
604,2026-01-19,CUST000604,Balvan Malhotra,Male,54.0,8349021860.0,aarnav19@example.net,Ahmednagar,UAE,FL000604,Thai Airways,SG4028,Bengaluru,Kempegowda International Airport,Chennai,Chennai International Airport,2026-05-12,11:45,15:45,Premium Economy,40A,,33951,1697.55,35648.55,Debit Card,Refunded,Confirmed
2713,2025-11-12,CUST002713,Zayyan Nagarajan,Female,31.0,8110589839.0,dinwarda@example.com,Amritsar,Singapore,FL002713,Akasa Air,SG1607,Delhi,Indira Gandhi International Airport,Ahmedabad,Sardar Vallabhbhai Patel International Airport,2026-01-16,04:45,14:45,Economy,38B,,44202,2210.1,46412.1,UPI,Refunded,Confirmed
3181,2026-04-13,CUST003181,,Male,51.0,740990216.0,,Karaikudi,UK,FL003181,Thai Airways,6E6422,Hyderabad,Rajiv Gandhi International Airport,Mumbai,Chhatrapati Shivaji Maharaj International Airport,2026-07-12,10:15,13:15,Business,30A,PNR6473332,71700,3585.0,75285.0,UPI,Refunded,Cancelled
2825,2025-12-27,CUST002825,Upasna Tata,Female,63.0,185935053.0,,Rajpur Sonarpur,UAE,FL002825,Vistara,UK4798,London,Heathrow Airport,Bengaluru,Kempegowda International Airport,2026-03-10,03:30,10:30,Premium Economy,21E,PNR3213619,16268,813.4,17081.4,Credit Card,Paid,Waiting
3237,2026-03-15,CUST003237,Avi Narayanan,Female,73.0,1967079030.0,ykeer@example.org,Tiruchirappalli,Thailand,FL003237,Lufthansa,6E4410,Dubai,Dubai International Airport,Jaipur,Jaipur International Airport,2026-06-17,20:00,01:00,Business,3E,PNR4320645,47696,2384.8,50080.8,UPI,Refunded,Cancelled
1462,2026-06-09,CUST001462,,Female,25.0,2034662345.0,lwalla@example.org,Saharanpur,Thailand,FL001462,IndiGo,QP9206,London,Heathrow Airport,Kolkata,Netaji Subhas Chandra Bose International Airport,2026-06-22,22:30,08:30,Premium Economy,31E,PNR3285498,68846,3442.3,72288.3,UPI,Pending,Cancelled
4482,2026-03-06,CUST004482,Indali Sridhar,Female,57.0,1531321429.0,darikamunshi@example.org,Meerut,UK,FL004482,Singapore Airlines,QP2894,,Manohar International Airport,Chennai,Chennai International Airport,,16:45,01:45,Economy,43C,PNR6085060,20303,1015.15,21318.15,Debit Card,Refunded,Confirmed
248,2026-02-19,CUST000248,,Female,48.0,990147686.0,bandiaashi@example.com,Gaya,UAE,FL000248,SpiceJet,QR3510,Bengaluru,Kempegowda International Airport,Bangkok,Suvarnabhumi Airport,2026-04-13,01:00,11:00,Business,43E,PNR8629342,63630,3181.5,66811.5,Credit Card,,Waiting
2444,2026-03-26,CUST002444,Chakradev Samra,Male,24.0,9276360446.0,,Ballia,Singapore,FL002444,Singapore Airlines,AI7176,Mumbai,Chhatrapati Shivaji Maharaj International Airport,Hyderabad,Rajiv Gandhi International Airport,2026-05-02,10:15,18:15,Economy,28E,PNR2788248,36920,1846.0,38766.0,Debit Card,Refunded,Cancelled
1725,2026-03-08,CUST001725,Garima Nori,Female,61.0,9505662504.0,saidugar@example.com,Kottayam,Thailand,FL001725,IndiGo,UK5799,Hyderabad,Rajiv Gandhi International Airport,,Jaipur International Airport,2026-04-03,20:00,03:00,,28A,PNR1282914,73337,3666.85,77003.85,Debit Card,Pending,Confirmed
69,2025-10-11,CUST000069,,Male,47.0,8506640110.0,veer33@example.net,Nanded,India,FL000069,British Airways,EK5851,Singapore,Singapore Changi Airport,Delhi,Indira Gandhi International Airport,2026-01-14,15:15,17:15,Economy,10D,PNR9948824,57920,2896.0,60816.0,Credit Card,Refunded,Confirmed
2481,2025-09-09,CUST002481,,Male,31.0,623972319.0,utkarshkala@example.org,Bhopal,Singapore,FL002481,Vistara,6E3592,Ahmedabad,Sardar Vallabhbhai Patel International Airport,Jaipur,Jaipur International Airport,2025-11-24,00:00,10:00,,35C,PNR2881704,66184,3309.2,69493.2,UPI,,Cancelled
