SaleID,Date,Product,Category,City,SalesPerson,Quantity,UnitPrice,TotalSales,Profit
31,2026-01-16,Laptop,Electronics,Delhi,Rahul Shah,1,62000,62000,13000
32,2026-01-16,Mobile,Electronics,Jaipur,Priya Patel,4,19000,76000,12000
33,2026-01-17,Tablet,Electronics,Ahmedabad,Amit Kumar,2,23000,46000,6500
34,2026-01-17,Printer,Accessories,Surat,Neha Joshi,3,12500,37500,6000
35,2026-01-18,Mouse,Accessories,Vadodara,Karan Mehta,20,850,17000,5000
36,2026-01-18,Keyboard,Accessories,Rajkot,Riya Sharma,6,1700,10200,2800
37,2026-01-19,Monitor,Electronics,Mumbai,Arjun Singh,3,15500,46500,8500
38,2026-01-19,Headphones,Accessories,Pune,Sneha Patel,9,2800,25200,6000
39,2026-01-20,Smart Watch,Electronics,Delhi,Yash Shah,4,9200,36800,6500
40,2026-01-20,Speaker,Accessories,Jaipur,Meera Iyer,5,3700,18500,4200
41,2026-01-21,Laptop,Electronics,Ahmedabad,Rahul Shah,3,57000,171000,26000
42,2026-01-21,Mobile,Electronics,Surat,Priya Patel,5,17500,87500,14500
43,2026-01-22,Tablet,Electronics,Vadodara,Amit Kumar,4,22500,90000,12000
44,2026-01-22,Printer,Accessories,Rajkot,Neha Joshi,2,13500,27000,4500
45,2026-01-23,Mouse,Accessories,Mumbai,Karan Mehta,18,900,16200,4200
46,2026-01-23,Keyboard,Accessories,Pune,Riya Sharma,10,1600,16000,4000
47,2026-01-24,Monitor,Electronics,Delhi,Arjun Singh,2,14800,29600,5200
48,2026-01-24,Headphones,Accessories,Jaipur,Sneha Patel,7,2900,20300,4700
49,2026-01-25,Smart Watch,Electronics,Ahmedabad,Yash Shah,6,9800,58800,9500
50,2026-01-25,Speaker,Accessories,Surat,Meera Iyer,9,3400,30600,6200
51,2026-01-26,Laptop,Electronics,Vadodara,Rahul Shah,2,59000,118000,20000
52,2026-01-26,Mobile,Electronics,Rajkot,Priya Patel,4,18500,74000,11000
53,2026-01-27,Tablet,Electronics,Mumbai,Amit Kumar,5,21500,107500,14000
54,2026-01-27,Printer,Accessories,Pune,Neha Joshi,3,12800,38400,6200
55,2026-01-28,Mouse,Accessories,Delhi,Karan Mehta,14,780,10920,2800
56,2026-01-28,Keyboard,Accessories,Jaipur,Riya Sharma,8,1750,14000,3200
57,2026-01-29,Monitor,Electronics,Ahmedabad,Arjun Singh,4,15200,60800,10500
58,2026-01-29,Headphones,Accessories,Surat,Sneha Patel,5,3000,15000,3500
59,2026-01-30,Smart Watch,Electronics,Vadodara,Yash Shah,7,9700,67900,12000
60,2026-01-30,Speaker,Accessories,Rajkot,Meera Iyer,6,3600,21600,4500
61,2026-02-01,Laptop,Electronics,Mumbai,Rahul Shah,2,61000,122000,22000
62,2026-02-01,Mobile,Electronics,Pune,Priya Patel,5,17800,89000,15000
63,2026-02-02,Tablet,Electronics,Delhi,Amit Kumar,3,23500,70500,10000
64,2026-02-02,Printer,Accessories,Jaipur,Neha Joshi,4,13200,52800,7500
65,2026-02-03,Mouse,Accessories,Ahmedabad,Karan Mehta,16,820,13120,3500
66,2026-02-03,Keyboard,Accessories,Surat,Riya Sharma,7,1650,11550,2900
67,2026-02-04,Monitor,Electronics,Vadodara,Arjun Singh,3,14900,44700,8000
68,2026-02-04,Headphones,Accessories,Rajkot,Sneha Patel,10,2750,27500,6200
69,2026-02-05,Smart Watch,Electronics,Mumbai,Yash Shah,5,9900,49500,8500
70,2026-02-05,Speaker,Accessories,Pune,Meera Iyer,8,3300,26400,5500
71,2026-02-06,Laptop,Electronics,Delhi,Rahul Shah,1,63000,63000,14000
72,2026-02-06,Mobile,Electronics,Jaipur,Priya Patel,6,18200,109200,17500
73,2026-02-07,Tablet,Electronics,Ahmedabad,Amit Kumar,4,22800,91200,12500
74,2026-02-07,Printer,Accessories,Surat,Neha Joshi,5,13800,69000,9200
75,2026-02-08,Mouse,Accessories,Vadodara,Karan Mehta,22,790,17380,4700
76,2026-02-08,Keyboard,Accessories,Rajkot,Riya Sharma,9,1850,16650,3900
77,2026-02-09,Monitor,Electronics,Mumbai,Arjun Singh,2,15800,31600,5600
78,2026-02-09,Headphones,Accessories,Pune,Sneha Patel,6,2950,17700,4200
79,2026-02-10,Smart Watch,Electronics,Delhi,Yash Shah,4,10100,40400,7000
80,2026-02-10,Speaker,Accessories,Jaipur,Meera Iyer,7,3450,24150,5100
81,2026-02-11,Laptop,Electronics,Ahmedabad,Rahul Shah,3,57500,172500,27000
82,2026-02-11,Mobile,Electronics,Surat,Priya Patel,5,17600,88000,14800
83,2026-02-12,Tablet,Electronics,Vadodara,Amit Kumar,2,24000,48000,7200
84,2026-02-12,Printer,Accessories,Rajkot,Neha Joshi,4,12600,50400,7100
85,2026-02-13,Mouse,Accessories,Mumbai,Karan Mehta,19,880,16720,4500
86,2026-02-13,Keyboard,Accessories,Pune,Riya Sharma,11,1720,18920,4800
87,2026-02-14,Monitor,Electronics,Delhi,Arjun Singh,4,15100,60400,10200
88,2026-02-14,Headphones,Accessories,Jaipur,Sneha Patel,8,2850,22800,5300
89,2026-02-15,Smart Watch,Electronics,Ahmedabad,Yash Shah,6,9600,57600,9700
90,2026-02-15,Speaker,Accessories,Surat,Meera Iyer,5,3550,17750,3800
91,2026-02-16,Laptop,Electronics,Vadodara,Rahul Shah,2,60500,121000,21000
92,2026-02-16,Mobile,Electronics,Rajkot,Priya Patel,4,18800,75200,11500
93,2026-02-17,Tablet,Electronics,Mumbai,Amit Kumar,3,23200,69600,9800
94,2026-02-17,Printer,Accessories,Pune,Neha Joshi,2,13000,26000,4300
95,2026-02-18,Mouse,Accessories,Delhi,Karan Mehta,17,810,13770,3600
96,2026-02-18,Keyboard,Accessories,Jaipur,Riya Sharma,6,1780,10680,2600
97,2026-02-19,Monitor,Electronics,Ahmedabad,Arjun Singh,3,15400,46200,8400
98,2026-02-19,Headphones,Accessories,Surat,Sneha Patel,9,2920,26280,6100
99,2026-02-20,Smart Watch,Electronics,Vadodara,Yash Shah,5,9850,49250,8200
100,2026-02-20,Speaker,Accessories,Rajkot,Meera Iyer,8,3650,29200,6200
101,2026-02-21,Laptop,Electronics,Mumbai,Rahul Shah,1,64000,64000,14500
102,2026-02-21,Mobile,Electronics,Pune,Priya Patel,7,17900,125300,19000
103,2026-02-22,Tablet,Electronics,Delhi,Amit Kumar,4,22600,90400,11800
104,2026-02-22,Printer,Accessories,Jaipur,Neha Joshi,5,13400,67000,8800
105,2026-02-23,Mouse,Accessories,Ahmedabad,Karan Mehta,21,860,18060,5000
106,2026-02-23,Keyboard,Accessories,Surat,Riya Sharma,10,1690,16900,4100
107,2026-02-24,Monitor,Electronics,Vadodara,Arjun Singh,2,15600,31200,5500
108,2026-02-24,Headphones,Accessories,Rajkot,Sneha Patel,7,2880,20160,4600
109,2026-02-25,Smart Watch,Electronics,Mumbai,Yash Shah,4,10200,40800,7200
110,2026-02-25,Speaker,Accessories,Pune,Meera Iyer,6,3500,21000,4300
111,2026-02-26,Laptop,Electronics,Delhi,Rahul Shah,2,61500,123000,22500
112,2026-02-26,Mobile,Electronics,Jaipur,Priya Patel,5,18400,92000,15500
113,2026-02-27,Tablet,Electronics,Ahmedabad,Amit Kumar,3,23800,71400,10200
114,2026-02-27,Printer,Accessories,Surat,Neha Joshi,4,12900,51600,7300
115,2026-02-28,Mouse,Accessories,Vadodara,Karan Mehta,20,830,16600,4500
116,2026-02-28,Keyboard,Accessories,Rajkot,Riya Sharma,8,1820,14560,3500
117,2026-03-01,Monitor,Electronics,Mumbai,Arjun Singh,4,15900,63600,10800
118,2026-03-01,Headphones,Accessories,Pune,Sneha Patel,5,3050,15250,3400
119,2026-03-02,Smart Watch,Electronics,Delhi,Yash Shah,6,9950,59700,10100
120,2026-03-02,Speaker,Accessories,Jaipur,Meera Iyer,9,3750,33750,6800
121,2026-03-03,Laptop,Electronics,Ahmedabad,Rahul Shah,3,58500,175500,28000
122,2026-03-03,Mobile,Electronics,Surat,Priya Patel,6,18100,108600,17200
123,2026-03-04,Tablet,Electronics,Vadodara,Amit Kumar,5,22900,114500,15000
124,2026-03-04,Printer,Accessories,Rajkot,Neha Joshi,3,13600,40800,6500
125,2026-03-05,Mouse,Accessories,Mumbai,Karan Mehta,18,890,16020,4300
126,2026-03-05,Keyboard,Accessories,Pune,Riya Sharma,7,1760,12320,3000
127,2026-03-06,Monitor,Electronics,Delhi,Arjun Singh,2,15300,30600,5200
128,2026-03-06,Headphones,Accessories,Jaipur,Sneha Patel,8,2980,23840,5500
129,2026-03-07,Smart Watch,Electronics,Ahmedabad,Yash Shah,5,10150,50750,8600
130,2026-03-07,Speaker,Accessories,Surat,Meera Iyer,7,3420,23940,5000
131,2026-03-08,Laptop,Electronics,Vadodara,Rahul Shah,2,62000,124000,23000
132,2026-03-08,Mobile,Electronics,Rajkot,Priya Patel,4,18600,74400,11200
133,2026-03-09,Tablet,Electronics,Mumbai,Amit Kumar,4,23400,93600,12400
134,2026-03-09,Printer,Accessories,Pune,Neha Joshi,5,13100,65500,8600
135,2026-03-10,Mouse,Accessories,Delhi,Karan Mehta,23,840,19320,5400
136,2026-03-10,Keyboard,Accessories,Jaipur,Riya Sharma,9,1880,16920,3900
137,2026-03-11,Monitor,Electronics,Ahmedabad,Arjun Singh,3,15700,47100,8300
138,2026-03-11,Headphones,Accessories,Surat,Sneha Patel,6,3100,18600,4200
139,2026-03-12,Smart Watch,Electronics,Vadodara,Yash Shah,7,9800,68600,11800
140,2026-03-12,Speaker,Accessories,Rajkot,Meera Iyer,5,3600,18000,3700
141,2026-03-13,Laptop,Electronics,Mumbai,Rahul Shah,1,65000,65000,15000
142,2026-03-13,Mobile,Electronics,Pune,Priya Patel,5,19000,95000,16000
143,2026-03-14,Tablet,Electronics,Delhi,Amit Kumar,3,24200,72600,9800
144,2026-03-14,Printer,Accessories,Jaipur,Neha Joshi,4,13900,55600,7600
145,2026-03-15,Mouse,Accessories,Ahmedabad,Karan Mehta,19,870,16530,4500
146,2026-03-15,Keyboard,Accessories,Surat,Riya Sharma,11,1800,19800,5000
147,2026-03-16,Monitor,Electronics,Vadodara,Arjun Singh,4,16000,64000,11000
148,2026-03-16,Headphones,Accessories,Rajkot,Sneha Patel,7,3020,21140,4700
149,2026-03-17,Smart Watch,Electronics,Mumbai,Yash Shah,4,10300,41200,7000
150,2026-03-17,Speaker,Accessories,Pune,Meera Iyer,8,3550,28400,6000
151,2026-03-18,Laptop,Electronics,Delhi,Rahul Shah,2,62500,125000,24000
152,2026-03-18,Mobile,Electronics,Jaipur,Priya Patel,6,18300,109800,17600
153,2026-03-19,Tablet,Electronics,Ahmedabad,Amit Kumar,5,23600,118000,15800
154,2026-03-19,Printer,Accessories,Surat,Neha Joshi,3,13300,39900,6200
155,2026-03-20,Mouse,Accessories,Vadodara,Karan Mehta,20,910,18200,5200
156,2026-03-20,Keyboard,Accessories,Rajkot,Riya Sharma,8,1840,14720,3600
157,2026-03-21,Monitor,Electronics,Mumbai,Arjun Singh,2,16200,32400,5600
158,2026-03-21,Headphones,Accessories,Pune,Sneha Patel,9,3150,28350,6500
159,2026-03-22,Smart Watch,Electronics,Delhi,Yash Shah,6,10050,60300,10300
160,2026-03-22,Speaker,Accessories,Jaipur,Meera Iyer,7,3700,25900,5400
161,2026-03-23,Laptop,Electronics,Ahmedabad,Rahul Shah,3,59000,177000,28500
162,2026-03-23,Mobile,Electronics,Surat,Priya Patel,5,18700,93500,15200
163,2026-03-24,Tablet,Electronics,Vadodara,Amit Kumar,4,23100,92400,12200
164,2026-03-24,Printer,Accessories,Rajkot,Neha Joshi,5,13700,68500,9100
165,2026-03-25,Mouse,Accessories,Mumbai,Karan Mehta,21,850,17850,4900
166,2026-03-25,Keyboard,Accessories,Pune,Riya Sharma,10,1770,17700,4200
167,2026-03-26,Monitor,Electronics,Delhi,Arjun Singh,3,15800,47400,8500
168,2026-03-26,Headphones,Accessories,Jaipur,Sneha Patel,8,2990,23920,5500
169,2026-03-27,Smart Watch,Electronics,Ahmedabad,Yash Shah,5,10400,52000,9000
170,2026-03-27,Speaker,Accessories,Surat,Meera Iyer,6,3480,20880,4300
171,2026-03-28,Laptop,Electronics,Vadodara,Rahul Shah,2,63500,127000,24500
172,2026-03-28,Mobile,Electronics,Rajkot,Priya Patel,4,19100,76400,11800
173,2026-03-29,Tablet,Electronics,Mumbai,Amit Kumar,3,24500,73500,10100
174,2026-03-29,Printer,Accessories,Pune,Neha Joshi,4,14000,56000,7700
175,2026-03-30,Mouse,Accessories,Delhi,Karan Mehta,24,920,22080,6200
176,2026-03-30,Keyboard,Accessories,Jaipur,Riya Sharma,9,1900,17100,4000
177,2026-03-31,Monitor,Electronics,Ahmedabad,Arjun Singh,4,16300,65200,11200
178,2026-03-31,Headphones,Accessories,Surat,Sneha Patel,5,3200,16000,3600
179,2026-04-01,Smart Watch,Electronics,Vadodara,Yash Shah,7,10100,70700,12100
180,2026-04-01,Speaker,Accessories,Rajkot,Meera Iyer,8,3800,30400,6400
181,2026-04-02,Laptop,Electronics,Mumbai,Rahul Shah,1,66000,66000,15500
182,2026-04-02,Mobile,Electronics,Pune,Priya Patel,6,19200,115200,18500
183,2026-04-03,Tablet,Electronics,Delhi,Amit Kumar,5,23800,119000,16000
184,2026-04-03,Printer,Accessories,Jaipur,Neha Joshi,3,13500,40500,6300
185,2026-04-04,Mouse,Accessories,Ahmedabad,Karan Mehta,20,890,17800,5000
186,2026-04-04,Keyboard,Accessories,Surat,Riya Sharma,12,1820,21840,5600
187,2026-04-05,Monitor,Electronics,Vadodara,Arjun Singh,2,16500,33000,5800
188,2026-04-05,Headphones,Accessories,Rajkot,Sneha Patel,7,3050,21350,4700
189,2026-04-06,Smart Watch,Electronics,Mumbai,Yash Shah,4,10500,42000,7200
190,2026-04-06,Speaker,Accessories,Pune,Meera Iyer,9,3650,32850,6900
191,2026-04-07,Laptop,Electronics,Delhi,Rahul Shah,2,64000,128000,25000
192,2026-04-07,Mobile,Electronics,Jaipur,Priya Patel,5,18800,94000,15000
193,2026-04-08,Tablet,Electronics,Ahmedabad,Amit Kumar,4,24000,96000,12800
194,2026-04-08,Printer,Accessories,Surat,Neha Joshi,5,14200,71000,9500
195,2026-04-09,Mouse,Accessories,Vadodara,Karan Mehta,22,930,20460,5900
196,2026-04-09,Keyboard,Accessories,Rajkot,Riya Sharma,10,1860,18600,4400
197,2026-04-10,Monitor,Electronics,Mumbai,Arjun Singh,3,16600,49800,9000
198,2026-04-10,Headphones,Accessories,Pune,Sneha Patel,8,3120,24960,5700
199,2026-04-11,Smart Watch,Electronics,Delhi,Yash Shah,6,10250,61500,10400
200,2026-04-11,Speaker,Accessories,Jaipur,Meera Iyer,7,3720,26040,5500
201,2026-04-12,Laptop,Electronics,Ahmedabad,Rahul Shah,3,60000,180000,29000
202,2026-04-12,Mobile,Electronics,Surat,Priya Patel,6,18500,111000,17800
203,2026-04-13,Tablet,Electronics,Vadodara,Amit Kumar,5,24200,121000,16500
204,2026-04-13,Printer,Accessories,Rajkot,Neha Joshi,4,13800,55200,7600
205,2026-04-14,Mouse,Accessories,Mumbai,Karan Mehta,25,950,23750,6800
